module_set,module
FittedISMIP,GrIS
NZInsarGPS,verticallandmotion
bamber19,icesheets
deconto16,AIS
deconto21,AIS
emulandice,AIS
emulandice,GrIS
emulandice,glaciers
emulandice,shared
extremesealevel,pointsoverthreshold
fair,temperature
ipccar5,glaciers
ipccar5,icesheets
ipccar5,thermalexpansion
ipccar6,gmipemuglaciers
ipccar6,ismipemuicesheets
ipccar6,larmipAIS
kopp14,glaciers
kopp14,icesheets
kopp14,landwaterstorage
kopp14,sterodynamics
kopp14,verticallandmotion
larmip,AIS
ssp,landwaterstorage
tlm,sterodynamics
